GAME_ID,team,against,s_minutes,s_FGM,s_FGA,s_3PM,s_3PA,s_FTM,s_FTA,s_OREB,s_DREB,s_AST,s_STL,s_BLK,s_TO,s_FOUL,b_FGM,b_FGA,b_3PM,b_3PA,b_FTM,b_FTA,b_OREB,b_DREB,b_AST,b_STL,b_BLK,b_TO,b_FOUL,home_away,PTS_ht,PTS_ht_opp,PTS_final
22300408,ATL,CHI,75.11666666666666,13,29,4,14,8,10,5,13,10,2,1,6,3,7,15,3,9,1,1,1,6,2,0,0,2,6,away,56,50,113
22300409,HOU,IND,80.58333333333333,14,30,1,6,10,11,5,8,9,4,0,6,2,12,17,3,5,1,1,3,5,2,5,0,2,4,home,67,64,117
22300409,IND,HOU,72.85,17,27,8,13,2,2,3,7,13,2,3,7,8,8,16,3,9,1,1,1,6,6,2,1,5,3,away,64,67,123
22300410,MEM,NOP,76.85,13,32,3,16,5,6,1,12,6,3,3,8,5,3,10,1,7,2,2,2,9,3,2,5,1,2,away,43,48,116
22300410,NOP,MEM,82.03333333333333,14,32,0,6,6,9,4,16,6,5,3,4,4,5,13,3,7,1,2,1,3,1,2,0,3,3,home,48,43,115
22300411,OKC,MIN,82.6,18,32,5,14,9,10,0,8,15,2,1,4,7,6,10,4,8,0,0,1,2,6,1,0,0,4,home,66,60,129
22300411,MIN,OKC,81.73333333333333,13,24,4,7,14,18,1,10,8,2,0,7,7,6,10,3,6,1,1,1,3,5,1,0,2,2,away,60,66,106
22300412,UTA,SAS,72.9,13,23,2,8,8,8,2,16,12,0,1,4,2,11,24,2,8,4,5,5,4,5,1,3,3,4,away,64,60,130
22300412,SAS,UTA,68.41666666666667,18,33,8,15,1,1,4,11,11,3,2,3,5,6,18,1,6,2,4,2,4,8,2,2,2,4,home,60,64,118
22300413,POR,SAC,58.96666666666667,12,22,4,11,2,4,2,8,6,0,0,3,2,13,22,2,5,9,10,2,6,8,3,2,1,4,home,67,60,130
22300413,SAC,POR,85.53333333333333,22,35,4,13,4,5,3,12,7,2,2,6,6,4,12,0,7,0,0,2,2,8,0,3,1,4,away,60,67,113
22300414,CHA,LAC,81.51666666666667,14,31,0,8,3,5,3,15,9,2,1,6,4,9,16,1,4,0,0,1,3,4,3,3,1,4,away,50,55,104
22300414,LAC,CHA,77.46666666666667,13,28,6,13,3,3,0,10,9,1,0,6,5,8,14,1,4,3,3,2,7,4,3,1,2,2,home,55,50,113
22300415,PHI,ORL,78.95,15,36,3,10,5,8,5,8,3,3,2,3,5,6,13,0,2,2,3,3,9,2,1,1,3,5,away,52,46,112
22300415,ORL,PHI,81.23333333333333,14,30,1,9,7,8,3,13,7,2,3,5,5,3,11,2,7,2,2,2,6,1,0,2,4,4,home,46,52,92
22300416,TOR,WAS,84.13333333333334,20,37,7,17,3,4,5,14,13,5,2,6,6,4,9,1,4,0,0,1,6,9,2,1,3,5,away,59,50,132
22300416,WAS,TOR,84.33333333333333,16,32,4,14,6,8,4,7,12,6,1,5,4,3,13,1,4,1,2,3,8,1,1,0,4,1,home,50,59,102
22300417,MIL,BKN,72.71666666666667,16,27,6,15,6,8,3,12,13,0,4,7,5,8,15,5,10,1,1,0,6,6,2,0,1,5,away,66,60,144
22300417,BKN,MIL,60.5,13,28,1,8,1,2,0,9,9,2,1,1,5,10,21,0,5,12,12,6,5,5,3,0,2,2,home,60,66,122
22300418,PHX,HOU,83.2,21,34,8,14,5,6,1,12,16,2,4,5,6,6,11,0,2,6,8,4,10,0,0,1,4,3,away,73,55,129
22300418,HOU,PHX,84.51666666666667,16,36,5,12,8,9,2,9,6,2,0,3,5,4,12,1,6,1,2,0,3,2,3,1,1,5,home,55,73,113
22300419,OKC,NYK,70.28333333333333,20,32,3,5,7,9,2,8,8,3,1,1,4,7,16,5,11,0,0,0,3,3,2,1,0,4,home,69,60,129
22300419,NYK,OKC,80.96666666666667,15,31,5,12,6,10,4,11,5,1,2,9,7,6,10,3,5,4,4,2,5,6,0,0,1,0,away,60,69,120
22300420,CLE,DAL,78.63333333333334,15,28,5,10,3,4,7,11,8,2,2,6,8,5,16,4,13,2,4,0,4,9,1,0,4,5,away,54,69,113
22300420,DAL,CLE,79.13333333333334,16,35,3,15,14,14,2,10,8,5,2,2,6,7,10,3,6,3,3,2,4,3,4,0,1,3,home,69,54,110
22300421,BOS,DET,75.15,11,31,2,14,6,6,5,10,7,3,0,9,4,7,15,2,10,1,2,2,3,2,2,0,1,3,home,47,66,128
22300421,DET,BOS,83.26666666666667,20,32,3,8,6,8,4,14,11,4,1,5,4,7,12,2,6,1,2,1,6,5,3,1,4,2,away,66,47,122
22300422,IND,CHI,70.2,15,30,7,15,2,2,1,8,15,2,2,4,6,8,13,4,8,4,5,0,13,3,1,3,3,2,away,63,52,120
22300422,CHI,IND,85.7,19,42,4,9,0,2,5,16,7,4,0,2,6,4,12,0,4,2,2,2,1,2,0,1,1,1,home,52,63,104
22300423,MIN,DAL,82.1,16,28,7,11,9,12,3,12,9,3,5,11,8,5,7,3,3,0,0,0,2,2,3,0,4,3,home,61,56,118
22300423,DAL,MIN,69.86666666666666,11,28,4,8,4,4,5,3,5,3,1,6,7,9,16,2,6,6,7,2,7,11,3,1,4,5,away,56,61,110
22300424,NOP,UTA,75.58333333333333,16,28,4,9,4,5,1,10,11,3,3,2,4,8,14,3,7,0,0,0,7,3,4,0,5,4,home,59,51,112
