GAME_ID,home_team,away_team,hs_minutes,hs_FGM,hs_FGA,hs_3PM,hs_3PA,hs_FTM,hs_FTA,hs_OREB,hs_DREB,hs_AST,hs_STL,hs_BLK,hs_TO,hs_FOUL,ht_minutes,ht_FGM,ht_FGA,ht_3PM,ht_3PA,ht_FTM,ht_FTA,ht_OREB,ht_DREB,ht_AST,ht_STL,ht_BLK,ht_TO,ht_FOUL,as_minutes,as_FGM,as_FGA,as_3PM,as_3PA,as_FTM,as_FTA,as_OREB,as_DREB,as_AST,as_STL,as_BLK,as_TO,as_FOUL,at_minutes,at_FGM,at_FGA,at_3PM,at_3PA,at_FTM,at_FTA,at_OREB,at_DREB,at_AST,at_STL,at_BLK,at_TO,at_FOUL
22300957,HOU,WAS,82:19:00,24,33,4,9,8,9,3,14,10,2,0,6,8,120:00:00,29,43,5,11,12,13,5,19,13,2,1,9,9,83:54:00,15,27,3,7,9,12,1,6,11,5,0,3,4,120:00:00,21,43,5,16,9,12,2,10,13,7,0,6,11
22300955,BOS,PHX,88:02:00,23,39,11,22,3,6,1,6,10,4,1,4,6,120:00:00,25,43,12,24,3,6,1,12,14,5,2,5,9,90:55:00,20,42,3,10,4,4,7,10,14,3,2,4,7,120:00:00,25,55,6,18,4,4,13,14,16,3,2,6,9
22300957,HOU,WAS,82:19:00,24,33,4,9,8,9,3,14,10,2,0,6,8,120:00:00,29,43,5,11,12,13,5,19,13,2,1,9,9,83:54:00,15,27,3,7,9,12,1,6,11,5,0,3,4,120:00:00,21,43,5,16,9,12,2,10,13,7,0,6,11
22300959,OKC,DAL,74:32:00,17,30,6,12,9,10,2,9,12,1,3,6,9,120:00:00,23,43,10,22,9,10,4,13,17,1,3,7,13,74:13:00,15,28,4,7,11,13,4,7,8,2,1,4,6,120:00:00,22,43,6,13,13,16,5,14,13,3,2,7,7
22300949,MIA,DEN,71:57:00,12,28,1,6,2,4,3,12,6,2,2,4,5,120:00:00,16,39,1,8,11,14,4,19,10,3,2,7,8,80:39:00,16,30,5,11,7,9,3,13,6,4,0,2,4,120:00:00,19,43,5,15,7,9,3,18,10,4,1,4,10
22300951,NOP,CLE,80:01:00,13,32,1,5,9,12,6,15,8,3,4,4,4,120:00:00,17,44,2,11,9,12,6,22,12,5,4,7,6,81:43:00,16,36,9,18,0,0,3,15,8,1,4,3,7,120:00:00,21,48,11,25,0,0,4,20,17,2,4,6,9
22300947,ORL,BKN,78:13:00,18,29,6,12,4,6,1,14,13,2,1,5,7,120:00:00,24,40,8,14,5,9,2,19,19,2,1,8,10,75:21:00,12,30,1,9,6,7,2,6,9,3,1,1,6,120:00:00,19,43,4,16,12,15,3,10,11,6,1,3,10
22300950,MEM,CHA,77:13:00,13,29,5,13,0,0,6,7,8,4,2,8,2,120:00:00,18,48,8,20,2,2,9,13,12,7,3,9,3,82:48:00,19,34,6,12,0,0,3,8,11,6,3,5,3,120:00:00,24,45,8,18,0,0,4,19,16,7,4,13,4
22300954,SAC,LAL,89:39:00,17,32,7,16,6,6,4,15,13,2,2,2,4,120:00:00,22,44,9,23,7,8,4,19,15,4,2,3,7,88:16:00,20,42,7,14,3,5,5,17,13,1,1,4,2,120:00:00,22,46,7,15,5,7,6,19,15,2,1,5,6
22300948,IND,CHI,73:51:00,15,32,2,9,5,6,4,13,9,1,2,2,5,120:00:00,24,50,4,18,10,11,6,19,15,2,2,2,10,86:54:00,19,35,2,9,10,12,2,13,9,2,2,3,5,120:00:00,21,41,3,12,13,16,3,18,10,2,2,5,8
22300952,DAL,GSW,82:27:00,17,32,1,11,5,7,3,13,7,2,6,6,2,120:00:00,21,40,1,14,5,7,4,16,11,3,8,8,3,76:05:00,12,30,4,10,5,6,5,9,5,2,0,7,3,120:00:00,16,43,5,16,5,6,6,15,10,5,1,11,9
22300951,NOP,CLE,80:01:00,13,32,1,5,9,12,6,15,8,3,4,4,4,120:00:00,17,44,2,11,9,12,6,22,12,5,4,7,6,81:43:00,16,36,9,18,0,0,3,15,8,1,4,3,7,120:00:00,21,48,11,25,0,0,4,20,17,2,4,6,9
22300952,DAL,GSW,82:27:00,17,32,1,11,5,7,3,13,7,2,6,6,2,120:00:00,21,40,1,14,5,7,4,16,11,3,8,8,3,76:05:00,12,30,4,10,5,6,5,9,5,2,0,7,3,120:00:00,16,43,5,16,5,6,6,15,10,5,1,11,9
22300948,IND,CHI,73:51:00,15,32,2,9,5,6,4,13,9,1,2,2,5,120:00:00,24,50,4,18,10,11,6,19,15,2,2,2,10,86:54:00,19,35,2,9,10,12,2,13,9,2,2,3,5,120:00:00,21,41,3,12,13,16,3,18,10,2,2,5,8
22300954,SAC,LAL,89:39:00,17,32,7,16,6,6,4,15,13,2,2,2,4,120:00:00,22,44,9,23,7,8,4,19,15,4,2,3,7,88:16:00,20,42,7,14,3,5,5,17,13,1,1,4,2,120:00:00,22,46,7,15,5,7,6,19,15,2,1,5,6
22300947,ORL,BKN,78:13:00,18,29,6,12,4,6,1,14,13,2,1,5,7,120:00:00,24,40,8,14,5,9,2,19,19,2,1,8,10,75:21:00,12,30,1,9,6,7,2,6,9,3,1,1,6,120:00:00,19,43,4,16,12,15,3,10,11,6,1,3,10
22300953,POR,ATL,78:08:00,19,36,4,11,1,1,5,15,9,1,3,4,6,120:00:00,21,48,4,16,1,1,6,16,13,4,3,8,10,71:02:00,15,32,6,13,0,2,7,11,7,3,3,5,3,120:00:00,21,46,6,17,4,6,8,17,11,4,4,7,7
22300946,DET,TOR,87:25:00,18,36,4,8,3,4,7,11,12,2,2,8,5,120:00:00,22,49,5,14,3,4,7,19,14,2,4,8,9,77:01:00,15,29,3,8,6,7,1,11,10,2,2,5,2,120:00:00,22,46,5,17,8,9,2,19,15,5,4,5,4
22300946,DET,TOR,87:25:00,18,36,4,8,3,4,7,11,12,2,2,8,5,120:00:00,22,49,5,14,3,4,7,19,14,2,4,8,9,77:01:00,15,29,3,8,6,7,1,11,10,2,2,5,2,120:00:00,22,46,5,17,8,9,2,19,15,5,4,5,4
22300949,MIA,DEN,71:57:00,12,28,1,6,2,4,3,12,6,2,2,4,5,120:00:00,16,39,1,8,11,14,4,19,10,3,2,7,8,80:39:00,16,30,5,11,7,9,3,13,6,4,0,2,4,120:00:00,19,43,5,15,7,9,3,18,10,4,1,4,10
22300950,MEM,CHA,77:13:00,13,29,5,13,0,0,6,7,8,4,2,8,2,120:00:00,18,48,8,20,2,2,9,13,12,7,3,9,3,82:48:00,19,34,6,12,0,0,3,8,11,6,3,5,3,120:00:00,24,45,8,18,0,0,4,19,16,7,4,13,4
22300953,POR,ATL,78:08:00,19,36,4,11,1,1,5,15,9,1,3,4,6,120:00:00,21,48,4,16,1,1,6,16,13,4,3,8,10,71:02:00,15,32,6,13,0,2,7,11,7,3,3,5,3,120:00:00,21,46,6,17,4,6,8,17,11,4,4,7,7
22300944,LAC,MIN,81:13:00,11,26,5,12,9,10,3,8,9,4,0,3,5,120:00:00,21,41,8,16,13,15,5,14,13,5,1,6,9,79:48:00,14,37,3,14,5,6,10,9,6,3,2,5,6,120:00:00,21,47,5,19,8,10,13,14,9,5,3,6,11
22300940,MEM,WAS,70:17:00,13,31,2,9,2,4,8,15,9,2,2,3,4,120:00:00,26,54,4,16,11,15,11,21,14,5,2,5,8,86:33:00,10,29,2,13,8,10,2,9,6,3,0,5,8,120:00:00,15,40,4,18,8,10,2,14,10,4,1,8,11
22300945,SAC,MIL,83:52:00,23,31,8,11,2,2,0,15,17,4,1,3,10,120:00:00,31,47,10,18,3,4,0,22,22,4,1,4,15,81:11:00,13,30,2,11,10,12,3,11,9,1,2,6,4,120:00:00,18,42,3,16,17,21,4,14,12,1,2,6,7
22300943,UTA,BOS,62:48:00,12,27,5,12,5,6,4,8,7,0,1,5,5,120:00:00,22,45,8,17,5,6,5,13,12,4,1,5,5,88:29:00,20,34,11,19,6,6,2,14,17,2,5,6,6,120:00:00,26,44,14,25,6,6,4,16,19,3,5,7,6
22300941,OKC,IND,76:26:00,11,32,4,11,7,10,4,14,7,2,2,5,4,120:00:00,16,45,7,20,7,10,6,19,9,2,3,7,8,74:31:00,16,33,3,11,4,5,0,13,15,4,4,3,4,120:00:00,24,46,5,16,5,7,2,22,20,4,5,4,6
